"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL"
"H2: Multiple","Warning","Low","416","68.650","Pages which have multiple <h2>s. This is not an issue as HTML standards allow multiple <h2>'s when used in a logical hierarchical heading structure. However, this filter can help you quickly scan to review if they are used appropriately.","Ensure <h2>s are used in a logical hierarchical heading structure, and update where appropriate utilising the full heading rank between (h3 - h6) for additional headings.",""
"H2: Missing","Warning","Low","130","21.450","Pages which have a missing <h2>, the content is empty or has a whitespace. The <h2> heading is often used to describe sections or topics within a document. They act as signposts for the user, and can help search engines understand the page.","Consider using logical and descriptive <h2>s on important pages that help the user and search engines better understand the page.",""
"Meta Description: Duplicate","Opportunity","Low","244","40.260","Pages which have duplicate meta descriptions. It's really important to have distinct and unique meta descriptions that communicate the benefits and purpose of each page. If they are duplicate or irrelevant, then they will be ignored by search engines in their snippets.","Update duplicate meta descriptions as necessary, so important pages contain a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"Hreflang: Noindex Return Links","Issue","High","25","4.130","URLs with return links which have a 'noindex' meta tag. All pages within a set should be indexable, and hence any return URLs with 'noindex' may result in the hreflang relationship being ignored. The noindex return links URLs can be seen in the lower window 'URL Details' pane with a 'noindex' confirmation status. They can be exported in bulk via the 'Reports > Hreflang > Noindex Return Links' export.","Update hreflang annotations to include indexable URLs only. They should not include links which are 'noindex'.",""
"URL: Over 115 Characters","Opportunity","Low","2","0.280","URLs that are more than the configured length. This is generally not an issue, however research has shown that users prefer shorter, concise URL strings.","Where possible use logical and concise URLs for users and search engines. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"H1: Over 70 Characters","Opportunity","Low","48","7.920","Pages which have <h1>s over the configured length. There is no hard limit for characters in an <h1>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h1>s for users, including target keywords where natural for users - without keyword stuffing.",""
"Response Codes: Internal Client Error (4xx)","Issue","High","15","0.630","Internal URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Client Error (4xx) inlinks'.","All links on a website should ideally resolve to 200 'OK' URLs. Errors such as a 404 or 410 should be updated to their correct locations, removed and redirected where appropriate. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent' and crawling again.",""
"Hreflang: Non-200 hreflang URLs","Issue","High","18","2.970","URLs contained within rel=""alternate"" hreflang annotations that do not have a 200 response code, such as URLs blocked by robots.txt, no responses, 3XX (redirects), 4XX (client errors) or 5XX (server errors). Hreflang URLs must be crawlable and indexable and therefore non-200 URLs are treated as errors, and ignored by the search engines. The non-200 hreflang URLs can be seen in the lower window 'URL Details' pane with a 'non-200' confirmation status. They can be exported in bulk via the 'Reports > Hreflang > Non-200 Hreflang URLs' export.","Ensure URLs within hreflang annotations are to the correct canonical and indexable pages. If Google can't see pages pointing to each other due to a non-200 response, the tags will be ignored.",""
"Links: Non-Descriptive Anchor Text In Internal Outlinks","Opportunity","Low","4","0.660","Pages that have internal outlinks with anchor text that is not descriptive, such as 'click here' or 'learn more' based upon the preferences under 'Config > Spider > Preferences'. Anchor text is the visible text and words used in hyperlinks that provide users and search engines context about the content of the target page. Internal outlinks with non-descriptive anchor text can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks', where the 'Anchor Text' column has words such as 'click here', or 'learn more'. Export in bulk via 'Bulk Export > Links > Non-Descriptive Anchor Text In Internal Outlinks'.","Review the non-descriptive anchor text in outlinks and where appropriate update them to include useful and descriptive anchor text to help provide context to both users and search engines.",""
"Meta Description: Below 400 Pixels","Opportunity","Low","9","1.490","Pages which have meta descriptions much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",""
"Content: Readability Very Difficult","Opportunity","Low","44","7.260","Copy on the page is very difficult to read and best understood by university graduates according to the Flesch reading-ease score formula. Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience. Copy that uses shorter sentences with less complex words is often easier to read and understand.",""
"Structured Data: Parse Errors","Issue","High","316","52.150","URLs which have structured data that failed to parse correctly. This is often due to incorrect mark-up in the structured data, which might impact search engines' ability to interpret it reliably.","Review and resolve any issues in the structured data markup, so that they can be parsed reliably. Debug parsing errors using the JSON-LD Playground tool or Schema Markup Validator.",""
"Hreflang: Missing X-Default","Warning","Low","388","64.030","URLs missing an x-default hreflang attribute. This is optional, and not necessarily an issue.","Consider adding a fallback page for unmatched languages, especially on language/country selectors or auto-redirecting homepages.",""
"Security: Unsafe Cross-Origin Links","Warning","Low","24","3.400","URLs that link to external websites using the target=""_blank"" attribute (to open in a new tab), without using rel=""noopener"" (or rel=""noreferrer"") at the same time. Using target=""_blank"" alone leaves those pages exposed to both security and performance issues for some legacy browsers, which are estimated to be below 5% of market share. Setting target=""_blank"" on <a> elements implicitly provides the same rel behavior as setting rel=""noopener"" which does not set window.opener for most modern browsers, such as Chrome, Safari, Firefox and Edge.  The external links that contain the target=""_blank"" attribute by itself can be viewed in the 'outlinks' tab and 'target' column. They can be exported alongside the pages they are linked from via 'Bulk Export > Security > Unsafe Cross-Origin Links'.","Consider the benefits of including the rel=""noopener"" link attribute on any links that contain the target=""_blank"" attribute to avoid security and performance issues for the users of legacy browsers that may visit the website.",""
"Page Titles: Below 30 Characters","Opportunity","Medium","96","15.840","Pages which have page titles under the configured limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.","Consider updating the page title to take advantage of the space left to include additional target keywords or USPs.",""
"Directives: Noindex","Warning","High","25","3.750","URLs containing a 'noindex' directive in either a robots meta tag or X-Robots-Tag in the HTTP header. This instructs the search engines not to index the page. The page will still be crawled (to see the directive), but it will then be dropped from the index.","URLs with a 'noindex' should be reviewed carefully to ensure they are correct and shouldn't be indexed. If these pages should be indexed, then the 'noindex' directive should be removed.",""
"Page Titles: Same as H1","Opportunity","Low","67","11.060","Page titles which match the h1 on the page exactly. This is not necessarily an issue, but may point to a potential opportunity to target alternative keywords, synonyms, or related key phrases.","This is not necessarily an issue, but may point to a potential opportunity to target alternative keywords, synonyms, or related key phrases.",""
"Security: Missing X-Content-Type-Options Header","Warning","Low","666","94.470","URLs that are missing the 'X-Content-Type-Options' response header with a 'nosniff' value. In the absence of a MIME type, browsers may 'sniff' to guess the content type to interpret it correctly for users. However, this can be exploited by attackers who can try and load malicious code, such as JavaScript via an image they have compromised.","To minimise security issues, the X-Content-Type-Options response header should be supplied and set to 'nosniff'. This instructs browsers to rely only on the Content-Type header and block anything that does not match accurately. This also means the content-type set needs to be accurate.",""
"Hreflang: Missing Self Reference","Warning","Low","32","5.280","URLs missing their own self referencing rel=""alternate"" hreflang annotation. It was previously a requirement to have a self-referencing hreflang, but Google has updated their guidelines to say this is optional. It is however good practice and often easier to include a self referencing attribute.","Consider adding a self referencing rel=""alternate"" hreflang annotation as Google still describe this as best practice in their documentation.",""
"Page Titles: Below 200 Pixels","Opportunity","Medium","40","6.600","Pages which have page titles much shorter than Google's estimated pixel length limit. This isn't necessarily an issue, but it does indicate there might be room to target additional keywords or communicate your USPs.","Consider updating the page title to take advantage of the space left to include additional target keywords or USPs.",""
"Security: Missing Content-Security-Policy Header","Warning","Low","649","92.060","URLs that are missing the Content-Security-Policy response header. This header allows a website to control which resources are loaded for a page. This policy can help guard against cross-site scripting (XSS) attacks that exploit the browser's trust of the content received from the server. The SEO Spider only checks for existence of the header, and does not interrogate the policies found within the header to determine whether they are well set-up for the website. This should be performed manually.","Set a strict Content-Security-Policy response header across all page to help mitigate cross site scripting (XSS) and data injection attacks.",""
"Meta Description: Below 70 Characters","Opportunity","Low","10","1.650","Pages which have meta descriptions below the configured limit. This isn't strictly an issue, but an opportunity. There is additional room to communicate benefits, USPs or call to actions.","Consider updating the meta description to take advantage of the space left to include additional benefits, USPs or call to actions to improve click through rates (CTR).",""
"Structured Data: Rich Result Validation Warnings","Opportunity","Low","345","56.930","URLs that contain Google rich result feature validation warnings. These will always be for 'recommended properties', rather than required properties. Recommended properties can be included to add more information about content which could provide a better user experience, but they do not disqualify you from being eligible for rich snippets.","Consider warnings as 'opportunities' to improve the data provided to search engines and users to potentially enhance special search result features in Google. Review the 'Structured Data Details' tab for more information on specific warnings and refer to Google rich result feature docs where necessary. Export unique validation errors using 'Reports > Structured Data > Validation Errors & Warnings Summary'.",""
"H2: Over 70 Characters","Opportunity","Low","47","7.760","Pages which have <h2>s over the configured limit. There is no hard limit for characters in an <h2>, however they should be clear and concise for users and long headings might be less helpful","Write concise <h2>s for users, including target keywords where natural for users - without keyword stuffing.",""
"Meta Description: Over 155 Characters","Opportunity","Low","32","5.280","Pages which have meta descriptions over the configured limit. Characters over this limit might be truncated in Google's search results.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.",""
"Structured Data: Validation Errors","Issue","High","345","56.930","URLs that contain structured data validation errors related to Schema.org. Schema.org validation includes checks against whether the types and properties exist against main and pending Schema vocabulary and will show 'errors' for any issues encountered.","Resolve validation errors to ensure pages have valid structured data and are eligible for special search result features in Google. Review the 'Structured Data Details' tab for more information on specific errors and refer to Schema.org specifications where necessary. Export unique validation errors using 'Reports > Structured Data > Validation Errors & Warnings Summary' and test in the Schema Markup Validator.",""
"URL: Contains Space","Issue","Low","2","0.280","URLs that contain a space. These are considered unsafe and could cause the link to be broken when sharing the URL. Hyphens should be used as word separators instead of spaces.","Ideally hyphens should be used as word separators, rather than spaces. However, changing URLs is a big decision. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"Images: Over 100 kB","Opportunity","Medium","465","35.520","Large images over a size threshold. Page speed is extremely important for users and SEO and often large resources such as images are one of the most common issues that slow down web pages. This filter simply acts as a general rule of thumb to help identify images that are fairly large in file size and may take longer to load. These should be considered for optimisation, alongside opportunities identified in the PageSpeed tab which uses the PSI API and Lighthouse to audit speed. This can help identify images that haven't been optimised in size, load offscreen, are unoptimised etc.","Uncompressed images bloat pages with unnecessary bytes, so ensure images are optimised with compression, properly scaled, and using the best image format to reduce file size where possible.",""
"Content: Near Duplicates","Warning","Medium","100","16.500","Pages that are near duplicate in content based upon the configured similarity threshold using the minhash algorithm. The threshold can be adjusted under 'Config > Content > Duplicates' and is set at 90% by default. The 'Closest Near Duplicate Match' column displays the highest percentage of similarity to another page. The 'No. Near Duplicates' column displays the number of pages that are similar to the page based upon the similarity threshold. The algorithm is run against text on the page, rather than the full HTML like exact duplicates. The content used for this analysis can be configured under 'Config > Content > Area'. Pages can have a 100% similarity, but only be a 'near duplicate' rather than exact duplicate. This is because exact duplicates are excluded as near duplicates, to avoid them being flagged twice. Similarity scores are also rounded, so 99.5% or higher will be displayed as 100%. To populate this column the 'Enable Near Duplicates' configuration must be selected via 'Config > Content > Duplicates', and post 'Crawl Analysis' must be performed.","Having very similar pages can cause cannibalisation issues and crawling and indexing inefficiencies. Very similar pages should be minimised and high similarity could be a sign of low-quality pages, which haven't received much love - or just shouldn't be separate pages in the first place. Analyse the near duplicates, considering importance of the page and scale. Then improve content to make more unique if necessary, or consolidate, block, remove, or leave as they are where appropriate.",""
"Sitemaps: Non-Indexable URLs in Sitemap","Issue","Medium","24","3.710","URLs that are in an XML Sitemap, but are non-indexable, and hence should be removed, or their indexability needs to be fixed.","XML Sitemaps should only include indexable pages. Remove non-indexable URLs from the XML Sitemap or update to the correct canonical versions.",""
"Meta Description: Over 985 Pixels","Opportunity","Low","32","5.280","Pages which have meta descriptions over Google's estimated pixel length limit for snippets. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise meta descriptions to ensure important words are not truncated in the search results, and not visible to users.",""
"URL: GA Tracking Parameters","Warning","Low","2","0.280","URLs that contain Google Analytics tracking parameters. In addition to creating duplicate pages that must be crawled, using tracking parameters on links internally can overwrite the original session data. utm= parameters strip the original source of traffic and starts a new session with the specified attributes. _ga= and _gl= parameters are used for cross-domain linking and identify a specific user, including this on links prevents a unique user ID from being assigned.","Remove the tracking parameters from links. Event Tracking is recommended in place of utm parameters for tracking additional interactions on a page such as downloads, link clicks, form submissions, and video plays.",""
"Page Titles: Over 60 Characters","Opportunity","Medium","33","5.450","Pages which have page titles that exceed the configured limit. Characters over this limit might be truncated in Google's search results and carry less weight in scoring.","Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring.",""
"Canonicals: Non-Indexable Canonical","Issue","High","2","0.330","Pages with a canonical URL that is non-indexable. This will include canonicals which are blocked by robots.txt, no response, redirect (3XX), client error (4XX), server error (5XX), are 'noindex' or 'canonicalised' themselves. This means the search engines are being instructed to consolidate indexing and link signals to a non-indexable page, which often leads to them ignoring the canonical, but may also lead to unpredictability in indexing and ranking. Export pages, their canonicals and status codes via 'Reports > Canonicals > Non-Indexable Canonicals'.","Ensure canonical URLs are to accurate indexable pages to avoid them being ignored by search engines, and any potential indexing or ranking unpredictability.",""
"Response Codes: Internal Redirection (3xx)","Warning","Low","23","0.970","Internal URLs which redirect to another URL. These will include server-side redirects, such as 301 or 302 redirects (and more). View URLs that link to redirects using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Redirection (3xx) inlinks'.","Ideally all internal links would be to canonical resolving URLs, and avoid linking to URLs that redirect. This reduces latency of redirect hops for users, and enhanced efficiency for search engines.",""
"Response Codes: External Client Error (4xx)","Warning","Low","87","3.650","External URLs with a client-side error. This indicates a problem occurred with the URL request and can include responses such as 400 bad request, 403 Forbidden, 404 Page Not Found, 410 Removed, 429 Too Many Requests and more. A 404 'Page Not Found' is the most common, and often referred to as a broken link. View URLs that link to errors using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > External > Client Error (4xx) inlinks'.","All links on a website should ideally resolve to 200 'OK' URLs. Errors such as 404 broken links should be updated so users are taken to the correct URL, or removed. A 403 forbidden error occurs when a web server denies access to the SEO Spider's request and can often be resolved by switching the user-agent to Chrome via 'Config > User-Agent'. If they can be viewed in a browser, then it's often not an issue.",""
"Security: Missing Secure Referrer-Policy Header","Warning","Low","666","94.470","URLs missing 'no-referrer-when-downgrade', 'strict-origin-when-cross-origin', 'no-referrer' or 'strict-origin' policies in the Referrer-Policy header. When using HTTPS, it's important that the URLs do not leak in non-HTTPS requests. This can expose users to 'man in the middle' attacks, as anyone on the network can view them.","Consider setting a referrer policy of strict-origin-when-cross-origin. It retains much of the referrer's usefulness, while mitigating the risk of leaking data cross-origins.",""
"Canonicals: Canonicalised","Warning","High","3","0.500","Pages that have a canonical to a different URL. The URL is 'canonicalised' to another location. This means the search engines are being instructed to not index the page, and the indexing and linking properties should be consolidated to the URL in the canonical.","These URLs should be reviewed carefully to ensure the indexing and link signals are being consolidated to the correct URL. In a perfect world, a website wouldn't need to canonicalise any URLs as only canonical versions would be linked to internally on a website, but often they are required due to various circumstances outside of control, and to prevent duplicate content. Update internal links to canonical versions of URLs where possible.",""
"Hreflang: Missing Return Links","Issue","High","32","5.280","URLs with missing return links (or 'return tags' in Google Search Console) to them, from their alternate pages. Hreflang is reciprocal, so all alternate versions must confirm the relationship. When page X links to page Y using hreflang to specify it as its alternate page, page Y must have a return link. No return links means the hreflang annotations may be ignored or not interpreted correctly. The missing return links URLs can be seen in the lower window 'URL Details' pane with a 'missing' confirmation status. They can be exported in bulk via the 'Reports > Hreflang > Missing Return Links' export.","Ensure alternate pages include hreflang annotations to URLs which are missing return links. This will confirm they are a 'set' of alternate pages.",""
"Links: Internal Nofollow Outlinks","Warning","Low","3","0.500","Pages that use rel=""nofollow"" on internal outlinks. Links with nofollow link attributes will generally not be followed by search engines. Remember that the linked pages may be found through other means, such as other followed links, or XML Sitemaps etc. Nofollow outlinks can be seen in the 'Outlinks' tab with the 'All Link Types' filter set to 'Hyperlinks', where the 'Follow' column is 'False'. Export in bulk via 'Bulk Export > Links > Internal Nofollow Outlinks'.","Review the use of rel=""nofollow"" on internal links. These might be valid to URLs that ideally wouldn't be crawled, or they could be by mistake. Remove the nofollow link attribute to important URLs you wish to be crawled, indexed and receive PageRank.",""
"Links: Internal Outlinks With No Anchor Text","Opportunity","Low","602","99.340","Pages that have internal links without anchor text or images that are hyperlinked without alt text. Anchor text is the visible text and words used in hyperlinks that provide users and search engines context about the content of the target page. Internal outlinks without anchor text can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks', where the 'Anchor Text' column is blank, or if an image, the 'Alt Text' column is also blank. Export in bulk via 'Bulk Export > Links > Internal Outlinks With No Anchor Text'.","Review the missing anchor text outlinks and where appropriate include useful and descriptive anchor text to help users and search engines.",""
"Links: Pages With High Crawl Depth","Opportunity","Medium","310","51.160","Pages that have a high crawl depth from the start page of the crawl based upon the 'Crawl Depth' preferences under 'Config > Spider > Preferences'. Broadly, pages that are linked directly from popular pages, such as the homepage, are passed more PageRank which can help them perform better organically. Pages much deeper in the website can often be passed less PageRank, and subsequently may not perform as well. This is important for key pages that are targeting broader more competitive queries, which may benefit from improved linking and reduced crawl depth. Unimportant pages, pages that target less competitive queries, or pages on large websites will often naturally sit deeper without issue. Most importantly, consider the user, which pages are important for them to navigate to, and their journey to reach the page.","Review pages that are deeper in the website with a high crawl depth. Improve website structure and internal linking to key pages that may benefit where appropriate.",""
"Response Codes: Internal Blocked by Robots.txt","Warning","High","1","0.040","Internal URLs blocked by the site's robots.txt. This means they cannot be crawled and is a critical issue if you want the page content to be crawled and indexed by search engines. View URLs that link to URLs blocked by robots.txt using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > Internal > Blocked by Robots.txt inlinks'.","Review URLs to ensure they should be disallowed. If they are incorrectly disallowed, then the site's robots.txt should be updated to allow them to be crawled. Consider whether you should be linking internally to these URLs and remove links where appropriate.",""
"Security: Missing X-Frame-Options Header","Warning","Low","666","94.470","URLs missing an X-Frame-Options response header with a 'DENY' or 'SAMEORIGIN' value. This instructs the browser not to render a page within a frame, iframe, embed or object. This helps avoid 'clickjacking' attacks, where your content is displayed on another web page that is controlled by an attacker.","To minimise security issues, the X-Frame-Options response header should be supplied with a 'DENY' or 'SAMEORIGIN' value.",""
"Links: Follow & Nofollow Internal Inlinks To Page","Warning","Low","1","0.170","Pages that have both rel=""nofollow"" and follow links to them from other pages. Links marked with nofollow link attributes will generally not be followed by search engines. Links without a nofollow link attribute will generally be followed. So inconsistent use of links that are follow and nofollow might be a sign of an issue or mistake, or something that can be ignored. Nofollow and follow inlinks can be seen in the 'Inlinks' tab with the 'All Link Types' filter set to 'Hyperlinks', where the 'Follow' column is 'True' and 'False'. Export in bulk via 'Bulk Export > Links > Follow & Nofollow Internal Inlinks To Page'.","Review the consistency of the use of rel=""nofollow"" on internal links. These might be valid to URLs that ideally wouldn't be crawled, or they could be by mistake. Remove the nofollow link attribute to important URLs you wish to be crawled, indexed and receive PageRank. Add nofollow to any links that are incorrectly missing it.",""
"Sitemaps: URLs not in Sitemap","Issue","Medium","10","1.550","URLs that are not in an XML Sitemap, but were discovered in the crawl. This might be on purpose (as they are not important), or they might be missing, and the XML Sitemap needs to be updated to include them. This filter does not consider non-indexable URLs, it assumes they are correctly non-indexable, and therefore shouldn't be flagged to be included.","Consider including important canonical URLs within the XML Sitemap. This does not make up for good site architecture and internal linking, but it can aid discovery for large websites, inform Google when the page was last updated, and aid with monitoring indexing of pages.",""
"H2: Duplicate","Opportunity","Low","111","18.320","Pages which have duplicate <h2>s. It's important to have distinct, unique and useful pages. If every page has the same <h2>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h2>s as necessary, so important pages contain a unique and descriptive <h2> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"Search Console: No Search Analytics Data","Warning","Low","580","89.920","URLs that are not returning impressions in the performance report in Google Search Console. URLs either didn't receive any impressions, or perhaps the URLs in the crawl are just different to those in the GSC profile selected.","Review URLs with no search analytics data and consider whether this is expected, or if they could be improved. Please select the correct property in GSC for accurate data.",""
"Content: Readability Difficult","Opportunity","Low","81","13.370","Copy on the page is difficult to read and best understood by college graduates according to the Flesch reading-ease score formula. Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience. Copy that uses shorter sentences with less complex words is often easier to read and understand.",""
"H2: Non-Sequential","Warning","Low","60","9.900","Pages with an <h2> that is not the second heading level after the <h1> on the page. Heading elements should be in a logical sequentially-descending order. The purpose of heading elements is to convey the structure of the page and they should be in logical order from <h1> to <h6>, which helps navigating the page and users that rely on assistive technologies.","Ensure the <h2> is the second heading on the page. Headings should be in a logical sequential order from <h1> to <h6>. Review and update page heading levels so they are descending in order, for example the heading element following an <h1> should be an <h2>, rather than an <h3>.",""
"URL: Underscores","Opportunity","Low","2","0.280","URLs with underscores, which are not always seen as word separators by search engines.","Ideally hyphens should be used as word separators, rather than underscores. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"Response Codes: External No Response","Warning","Low","10","0.420","External URLs with no response returned from the server. Usually due to a malformed URL, connection timeout, connection error, or connection refused. View URLs that link to no responses using the lower 'inlinks' tab and export them in bulk via 'Bulk Export > Response Codes > External > No Response inlinks'.","Malformed URLs should be updated to the correct location and other connection issues can often be resolved by using different user-agents ('Config > User-Agent'), adjusting the crawl speed ('Config > Speed') or disabling firewalls & proxies. If they can be viewed in a browser, then it's often not an issue.",""
"Images: Missing Alt Attribute","Issue","Low","44","3.360","Images that are missing an alt attribute all together. Click the address (URL) of the image and then the 'Image Details' tab in the lower window pane to view which pages have the image on, and are missing alt attributes. All images should contain an alt attribute with descriptive text, or blank when it's a decorative image.","Include alt attributes with descriptive alt text for images to help users and the search engines understand them better. Where possible, decorative images should be provided using CSS background images or alternatively a null (empty) alt text should be provided (alt="""") so that they can be ignored by assistive technologies, such as screen readers.",""
"Images: Missing Size Attributes","Opportunity","Low","1057","80.750","Image elements without dimensions (width and height size attributes) specified in the HTML. This can cause large layout shifts as the page loads and be frustrating experience for users. It is one of the major reasons that contributes to a high Cumulative Layout Shift (CLS).","Define all image sizes as their native size using width and height attributes in the HTML. This allows the browser to calculate enough space for each image before it loads, avoiding large layout shifts.",""
"H1: Duplicate","Opportunity","Low","108","17.820","Pages which have duplicate <h1>s. It's important to have distinct, unique and useful main headings. If every page has the same <h1>, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate <h1>s as necessary, so important pages contain a unique and descriptive <h1> for users and search engines.  If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
"URL: Uppercase","Warning","Low","594","84.260","URLs that have uppercase characters within them. URLs are case sensitive, so as best practice generally URLs should be lowercase, to avoid any potential mix ups and duplicate URLs.","Ideally lowercase characters should be used for URLs only. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"Content: Low Content Pages","Opportunity","Medium","141","23.270","Pages with a word count that is below the default 200 words. The word count is based upon the content area settings used in the analysis which can be configured via 'Config > Content > Area'. There isn't a minimum word count for pages in reality, but the search engines do require descriptive text to understand the purpose of a page. This filter should only be used as a rough guide to help identify pages that might be improved by adding more descriptive content in the context of the website and page's purpose. Some websites, such as ecommerce, will naturally have lower word counts, which can be acceptable if a products details can be communicated efficiently.","Consider including additional descriptive content to help the user and search engines better understand the page.",""
"Links: Pages With High External Outlinks","Warning","Low","193","31.850","Pages that have a high number of followed external outlinks on them based upon the 'High External Outlinks' preferences under 'Config > Spider > Preferences'. External outlinks are hyperlinks to another subdomain or domain (depending on your configuration). This might be completely valid, such as linking to another part of the same root domain, or linking to other useful websites. External followed outlinks can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks' where the 'Follow' column is 'True'.","Review followed external outlinks to ensure they are to credible, trusted and relevant websites that are useful to your users.",""
"Sitemaps: Orphan URLs","Issue","Medium","81","12.520","URLs that are only in an XML Sitemap, but were not discovered during the crawl. Or, URLs that are only discovered from URLs in the XML Sitemap, but were not found in the crawl. These might be accidentally included in the XML Sitemap, or they might be pages that you wish to be indexed, and should really be linked to internally.","Review orphan URLs and link to them internally from the website if they should rank in the search results. Remove any pages from the XML Sitemap that should not be indexed and use appropriate directives such as 'noindex'.",""
"Images: Missing Alt Text","Issue","Low","21","1.600","Images that have an alt attribute, but are missing alt text. Click the address of the image and then the 'Image Details' tab in the lower window pane to view which pages have the image on them, and are missing alt text. Images should have descriptive alternative text about its purpose, which helps the blind and visually impaired, and the search engines understand it and its relevance to the web page.","Include descriptive alt text for images to help users and the search engines understand them better. Where possible, decorative images should be provided using CSS background images or alternatively a null (empty) alt text should be provided (alt="""") so that they can be ignored by assistive technologies, such as screen readers.",""
"Images: Alt Text Over 100 Characters","Opportunity","Low","11","0.840","Images which have one instance of alt text over a threshold of characters in length. This is not strictly an issue, however image alt text should be concise and descriptive. It should not be used to stuff lots of keywords or paragraphs of text onto a page.","Write concise alt text that's helpful for users and search engines - without keyword stuffing.",""
"URL: Parameters","Warning","Low","4","0.570","URLs that include parameters such as '?' or '&'. This isn't an issue for Google or other search engines to crawl unless at significant scale, but it's recommended to limit the number of parameters in a URL which can be complicated for users, and can be a sign of low value-add URLs.","Where possible use a static URL structure without parameters for key indexable URLs. However, changing URLs is a big decision, and often it's not worth changing them for SEO purposes alone. If URLs are changed, then appropriate 301 redirects must be implemented.",""
"Structured Data: Rich Result Validation Errors","Issue","High","81","13.370","URLs that contain Google rich result feature validation errors. Google rich result feature validation will show errors for missing required properties or problems with the implementation of required properties. Google's 'required properties' must be included and be valid for content to be eligible for display as a rich result.","Resolve validation errors to ensure pages are eligible for special search result features in Google. Review the 'Structured Data Details' tab for more information on specific errors and refer to Google rich result feature docs where necessary. Export unique validation errors using 'Reports > Structured Data > Validation Errors & Warnings Summary' and test in Google's Rich Results tool.",""
"H1: Missing","Issue","Medium","42","6.930","Pages which have a missing <h1>, the content is empty or has a whitespace. The <h1> should describe the main title and purpose of the page and are considered to be one of the stronger on-page ranking signals.","Ensure important pages have concise, descriptive and unique headings to help users, and enable search engines to score and rank the page for relevant search queries.",""
"Page Titles: Over 561 Pixels","Opportunity","Medium","43","7.100","Pages which have page titles over Google's estimated pixel length limit for titles in search results. Google snippet length is actually based upon pixels limits, rather than a character length. The SEO Spider tries to match the latest pixel truncation points in the SERPs, but it is an approximation and Google adjusts them frequently.","Write concise page titles to ensure important words are not truncated in the search results, not visible to users and potentially weighted less in scoring.",""
"Page Titles: Duplicate","Opportunity","Medium","131","21.620","Pages which have duplicate page titles. It's really important to have distinct and unique page titles for every page. If every page has the same page title, then it can make it more challenging for users and the search engines to understand one page from another.","Update duplicate page titles as necessary, so each page contains a unique and descriptive title for users and search engines. If these are duplicate pages, then fix the duplicated pages by linking to a single version, and redirect or use canonicals where appropriate.",""
